text,label,start_char,end_char,source_url
Georgia,GPE,2591,2598,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2028,DATE,2604,2608,https://en.wikipedia.org/wiki/Summer_Olympic_Games
U.S.,GPE,2712,2716,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1906,DATE,2987,2991,https://en.wikipedia.org/wiki/Summer_Olympic_Games
2032,DATE,3161,3165,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Netherlands,GPE,3484,3495,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Soviet Union,GPE,3510,3522,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Asia,LOC,3603,3607,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Seoul,GPE,3657,3662,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Beijing,GPE,3675,3682,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Rio de Janeiro,GPE,3709,3723,https://en.wikipedia.org/wiki/Summer_Olympic_Games
South America,LOC,3778,3791,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Southern Hemisphere,LOC,3891,3914,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Africa,LOC,4006,4012,https://en.wikipedia.org/wiki/Summer_Olympic_Games
any Summer Olympics,EVENT,4032,4051,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Stockholm,GPE,4053,4062,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1912 Games,EVENT,4143,4157,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Melbourne,GPE,4282,4291,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Amsterdam,GPE,4308,4317,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1920 Summer Olympics,EVENT,4470,4494,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Hong Kong,GPE,4525,4534,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Sha Tin,GPE,4602,4609,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Kwu Tung,GPE,4614,4622,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1894,DATE,4934,4938,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Pierre de Coubertin,PERSON,4944,4963,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Olympic Games,EVENT,5096,5113,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Stamata Revithi,PERSON,5397,5412,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paris Games,EVENT,5585,5596,https://en.wikipedia.org/wiki/Summer_Olympic_Games
from 6 to 15 April 1896,DATE,5915,5938,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympic Games,EVENT,5957,5970,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Olympic Games,EVENT,6308,6325,https://en.wikipedia.org/wiki/Summer_Olympic_Games
23 June 1894,DATE,6533,6545,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1896 Olympics were,EVENT,6635,6657,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Marathon,EVENT,6948,6956,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Spiridon Louis,PERSON,6985,6999,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Carl Schuhmann,PERSON,7173,7187,https://en.wikipedia.org/wiki/Summer_Olympic_Games
an Olympic Games,EVENT,7296,7312,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympics,EVENT,7533,7541,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Four years later,DATE,7564,7580,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Paris World's Fair,EVENT,7813,7835,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Russo–Japanese War,EVENT,8055,8077,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Europe,LOC,8282,8288,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1904 Olympics.[10,EVENT,8400,8421,https://en.wikipedia.org/wiki/Summer_Olympic_Games
"The ""Second International Olympic Games in Athens",EVENT,8423,8472,https://en.wikipedia.org/wiki/Summer_Olympic_Games
non-Olympic,EVENT,8811,8822,https://en.wikipedia.org/wiki/Summer_Olympic_Games
years,DATE,8823,8828,https://en.wikipedia.org/wiki/Summer_Olympic_Games
London Games,EVENT,9031,9043,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympic Marathon,EVENT,9189,9205,https://en.wikipedia.org/wiki/Summer_Olympic_Games
between 1900 and 1920,DATE,9628,9649,https://en.wikipedia.org/wiki/Summer_Olympic_Games
this day,DATE,9799,9807,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Dorando Pietri,PERSON,9861,9875,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Alexandra,PERSON,10144,10153,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Pietri,PERSON,10159,10165,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Arthur Conan Doyle,PERSON,10187,10205,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Daily Mail.[12,ORG,10247,10265,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Jim Thorpe,PERSON,10380,10390,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Thorpe,PERSON,10435,10441,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Avery Brundage,PERSON,10581,10595,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1983,DATE,10621,10625,https://en.wikipedia.org/wiki/Summer_Olympic_Games
30 years,DATE,10627,10635,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Pierre de Coubertin's,PERSON,10701,10722,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1916,DATE,10896,10900,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Berlin,GPE,10936,10942,https://en.wikipedia.org/wiki/Summer_Olympic_Games
World War I.,EVENT,10977,10989,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Antwerp Games,EVENT,11018,11031,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Paris Games,EVENT,11165,11180,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paavo Nurmi,PERSON,11249,11260,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the same day.[13,DATE,11373,11389,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Winter Olympics,EVENT,11664,11683,https://en.wikipedia.org/wiki/Summer_Olympic_Games
an “International Winter Sports Week,DATE,11687,11723,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Amsterdam Games,EVENT,11735,11750,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Coca-Cola Company,ORG,11978,11999,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Giuseppe Cassioli's,PERSON,12087,12106,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Nike,PERSON,12134,12138,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Los Angeles Games,EVENT,12234,12251,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Berlin Games,EVENT,12340,12352,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Nazi Party,ORG,12450,12460,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Leni Riefenstahl,PERSON,12485,12501,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympia,EVENT,12533,12540,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Adolf Hitler's,PERSON,12609,12623,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Jesse Owens,PERSON,12718,12729,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Torch Relay.[17,PRODUCT,12863,12882,https://en.wikipedia.org/wiki/Summer_Olympic_Games
World War II,EVENT,12891,12903,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1940,DATE,12909,12913,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Helsinki,GPE,12980,12988,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The 1944 Games,EVENT,13035,13049,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Fanny Blankers-Koen,PERSON,13315,13334,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Owens,PERSON,13380,13385,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Helsinki Games,EVENT,13426,13440,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Czechoslovak Army,ORG,13981,13998,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Emil Zátopek,PERSON,14016,14028,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Zátopek,PERSON,14305,14312,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Melbourne Games,EVENT,14455,14470,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Hungary,GPE,14584,14591,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Soviet Union,GPE,14596,14612,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Britain,GPE,14807,14814,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Rome Games,EVENT,14884,14894,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Cassius Clay,PERSON,14934,14946,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Muhammad Ali,PERSON,14963,14975,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Ali,PERSON,14999,15002,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Louisville,GPE,15128,15138,https://en.wikipedia.org/wiki/Summer_Olympic_Games
36 years later,DATE,15181,15195,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1996 Olympics,EVENT,15199,15216,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Wilma Rudolph,PERSON,15275,15288,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Tokyo Games,EVENT,15384,15395,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Anton Geesink,PERSON,15749,15762,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Akio Kaminaga,PERSON,15838,15851,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Mexico City,GPE,15918,15929,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Fosbury,PERSON,16023,16030,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Dick Fosbury,PERSON,16080,16092,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Tommie Smith,PERSON,16195,16207,https://en.wikipedia.org/wiki/Summer_Olympic_Games
John Carlos,PERSON,16232,16243,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Věra Čáslavská,PERSON,16449,16463,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Czechoslovakia,GPE,16516,16530,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1972 Games in,EVENT,16874,16891,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Munich,GPE,16892,16898,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Black September,ORG,16976,16991,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Israel,GPE,17150,17156,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Mark Spitz,PERSON,17889,17899,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Lasse Virén,PERSON,17911,17922,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olga Korbut,PERSON,18056,18067,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Montreal Games,EVENT,18637,18651,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Summer Games,EVENT,18814,18826,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 2014,EVENT,18877,18885,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Winter Olympics,EVENT,18886,18901,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Montreal Mafia,ORG,19077,19095,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Giuseppe Zappia,PERSON,19358,19373,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympic,EVENT,19435,19442,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The 1976 Games,EVENT,19520,19534,https://en.wikipedia.org/wiki/Summer_Olympic_Games
South Africa,GPE,19626,19638,https://en.wikipedia.org/wiki/Summer_Olympic_Games
New Zealand,GPE,19646,19657,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Nadia Comăneci,PERSON,19706,19720,https://en.wikipedia.org/wiki/Summer_Olympic_Games
End of the 20th century,DATE,20103,20126,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Soviet Union's,GPE,20143,20161,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1979,DATE,20162,20166,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Afghanistan,GPE,20179,20190,https://en.wikipedia.org/wiki/Summer_Olympic_Games
West Germany,GPE,20241,20253,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1980 Games,EVENT,20276,20290,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Moscow,GPE,20299,20305,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Moscow Games,EVENT,20342,20358,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Andrew Jennings,PERSON,20561,20576,https://en.wikipedia.org/wiki/Summer_Olympic_Games
KGB,ORG,20580,20583,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1989,DATE,20844,20848,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Moscow Games,EVENT,21008,21024,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Chemists' Games,EVENT,21056,21075,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Sergei Portugalov,PERSON,21537,21554,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Institute for Physical Culture,ORG,21558,21592,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Portugalov,PERSON,21594,21604,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 2016 Summer Olympics.[48,EVENT,21710,21738,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Romania,GPE,21853,21860,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Yugoslavia,GPE,21865,21875,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Eastern Bloc,LOC,21916,21932,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1984 Olympics,EVENT,21949,21966,https://en.wikipedia.org/wiki/Summer_Olympic_Games
National Olympic Committees,ORG,22125,22152,https://en.wikipedia.org/wiki/Summer_Olympic_Games
People's Republic,ORG,22251,22268,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The 1988,EVENT,22284,22292,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Ben Johnson,PERSON,22424,22435,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Barcelona Games,EVENT,22639,22654,https://en.wikipedia.org/wiki/Summer_Olympic_Games
NBA,ORG,22738,22741,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Vitaly Scherbo,PERSON,22992,23006,https://en.wikipedia.org/wiki/Summer_Olympic_Games
a Summer Olympics,EVENT,23071,23088,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Eric Heiden,PERSON,23129,23140,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Atlanta 1996 Summer Olympics,EVENT,23365,23393,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Michael Johnson,PERSON,23431,23446,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Donovan Bailey,PERSON,23518,23532,https://en.wikipedia.org/wiki/Summer_Olympic_Games
June 2003,DATE,23997,24006,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Eric Robert Rudolph,PERSON,24047,24066,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Sydney,GPE,24116,24122,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Ian Thorpe,PERSON,24188,24198,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Cathy Freeman,PERSON,24215,24228,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Steve Redgrave,PERSON,24319,24333,https://en.wikipedia.org/wiki/Summer_Olympic_Games
"Eric ""the Eel"" Moussambani",PERSON,24410,24436,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Equatorial Guinea,GPE,24453,24470,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Paula Barila Bolopa,PERSON,24708,24727,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The Sydney Games,EVENT,24821,24837,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 21st century,DATE,25147,25163,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Michael Phelps,PERSON,25332,25346,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Pyrros Dimas,PERSON,25418,25430,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the first weekend,DATE,25665,25682,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Seoul and Barcelona Olympics,EVENT,25852,25884,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Jacques Rogge,PERSON,25916,25929,https://en.wikipedia.org/wiki/Summer_Olympic_Games
NOCs,ORG,26035,26039,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Athens Games,EVENT,26056,26072,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The 2008 Summer Olympics,EVENT,26104,26128,https://en.wikipedia.org/wiki/Summer_Olympic_Games
People's Republic of China,GPE,26150,26176,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Usain Bolt,PERSON,26977,26987,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 1908 Games,EVENT,27413,27427,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The London Games,EVENT,27594,27610,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Opening Ceremony,EVENT,27794,27814,https://en.wikipedia.org/wiki/Summer_Olympic_Games
National Delegations,ORG,27979,27999,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the early days,DATE,28021,28035,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Recent Games,EVENT,28132,28144,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Latin America,LOC,28302,28315,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Guanabara Bay,LOC,28713,28730,https://en.wikipedia.org/wiki/Summer_Olympic_Games
two years earlier,DATE,28863,28880,https://en.wikipedia.org/wiki/Summer_Olympic_Games
24 July to 9 August 2020,DATE,29021,29045,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Shinzo Abe,PERSON,29229,29239,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Tokyo Organising Committee,ORG,29253,29283,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the 2020 Games,EVENT,29299,29313,https://en.wikipedia.org/wiki/Summer_Olympic_Games
a leap year,DATE,29479,29490,https://en.wikipedia.org/wiki/Summer_Olympic_Games
a non-leap year,DATE,29519,29534,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Tokyo 2020 Olympic Games,EVENT,29715,29743,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Simone Biles,PERSON,29847,29859,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Norway,GPE,29973,29979,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Karsten Warholm,PERSON,29982,29997,https://en.wikipedia.org/wiki/Summer_Olympic_Games
The 2024 Summer Olympics,EVENT,30052,30076,https://en.wikipedia.org/wiki/Summer_Olympic_Games
"Paris, France",GPE,30090,30103,https://en.wikipedia.org/wiki/Summer_Olympic_Games
any Olympic Games,EVENT,30282,30299,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the River Seine,LOC,30464,30479,https://en.wikipedia.org/wiki/Summer_Olympic_Games
"1900,1924",DATE,30705,30714,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Brisbane,GPE,30929,30937,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Olympic Sports,EVENT,31356,31370,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the Association of Summer Olympic International Federations,ORG,31439,31498,https://en.wikipedia.org/wiki/Summer_Olympic_Games
ASOIF,ORG,31500,31505,https://en.wikipedia.org/wiki/Summer_Olympic_Games
the International Sports Federation,ORG,31625,31660,https://en.wikipedia.org/wiki/Summer_Olympic_Games
IF,ORG,31846,31848,https://en.wikipedia.org/wiki/Summer_Olympic_Games
NOC,ORG,32086,32089,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Some National Olympic Committees,ORG,32547,32579,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Summer Olympic,EVENT,32789,32803,https://en.wikipedia.org/wiki/Summer_Olympic_Games
International Federation.[65][66,ORG,33143,33175,https://en.wikipedia.org/wiki/Summer_Olympic_Games
East Germany,GPE,34526,34538,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Cuba,GPE,34855,34859,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Poland,GPE,34939,34945,https://en.wikipedia.org/wiki/Summer_Olympic_Games
George I,PERSON,35752,35760,https://en.wikipedia.org/wiki/Summer_Olympic_Games
14 May – 28 October 1900,DATE,35862,35886,https://en.wikipedia.org/wiki/Summer_Olympic_Games
1 July – 23 November 1904,DATE,36021,36046,https://en.wikipedia.org/wiki/Summer_Olympic_Games
David R. Francis,PERSON,36056,36072,https://en.wikipedia.org/wiki/Summer_Olympic_Games
United Kingdom,GPE,36160,36174,https://en.wikipedia.org/wiki/Summer_Olympic_Games
27 April – 31 October 1908,DATE,36177,36203,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Edward VII,PERSON,36209,36219,https://en.wikipedia.org/wiki/Summer_Olympic_Games
Gustaf V,PERSON,36338,36346,https://en.wikipedia.org/wiki/Summer_Olympic_Games
